shane,knapp,sknapp@berkeley.edu,,1,2,3
shane,knapp,1sknapp@berkeley.edu,,1,2,3
shane,knapp,s2knapp@berkeley.edu,,1,2,3
shane,knapp,sk3napp@berkeley.edu,,1,2,3
shane,knapp,skn4app@berkeley.edu,,1,2,3
shane,knapp,skna5pp@berkeley.edu,,1,2,3
shane,knapp,sknap6p@berkeley.edu,,1,2,3
shane,knapp,sknapp76@berkeley.edu,,1,2,3
shane,knapp,sknapp@b6erkeley.edu,,1,2,3
shane,knapp,sknapp@be4rkeley.edu,,1,2,3
shane,knapp,sknapp@ber2ke234ley.edu,,1,2,3
shane,knapp,sknapp@berk4eley.edu,,1,2,3
shane,knapp,sknapp@berke5ley2.edu,,1,2,3
shane,knapp,sknapp@berkeley.e2du,,1,2,3
shane,knapp,sknapp@berkeley.23424edu,,1,2,3

